Time name; timer [s/ps]
timePollAckReceived;10247516.0
timePollAckReceived;10349519.0
timeRangeSent;10364326.0
timeINO;46697.0
timePollSent;10436727.0
timePollAckReceived;10451520.0
timePollAckReceived;10553522.0
timeRangeSent;10568330.0
timeINO;46901.0
timePollSent;10640731.0
timePollAckReceived;10655526.0
timePollAckReceived;10757529.0
timeRangeSent;10772337.0
timeINO;47105.0
timePollSent;10844733.0
timePollAckReceived;10859529.0
timePollAckReceived;10961532.0
timeRangeSent;10976341.0
timeINO;47309.0
timePollSent;11048739.0
timePollAckReceived;11063533.0
timePollAckReceived;11165534.0
timeRangeSent;11180342.0
timeINO;47513.0
timePollSent;11252743.0
timePollAckReceived;11267538.0
timePollAckReceived;11369540.0
timeRangeSent;11384346.0
timeINO;47717.0
timePollSent;11456747.0
timePollAckReceived;11471544.0
timePollAckReceived;11573545.0
timeRangeSent;11588356.0
timeINO;47921.0
timePollSent;11660752.0
timePollAckReceived;11675550.0
timePollAckReceived;11777548.0
timeRangeSent;11792355.0
timeINO;48125.0
timePollSent;11864757.0
timePollAckReceived;11879553.0
timePollAckReceived;11981553.0
timeRangeSent;11996364.0
timeINO;48329.0
timePollSent;12068760.0
timePollAckReceived;12083555.0
timePollAckReceived;12389564.0
timeRangeSent;12404376.0
timeINO;48737.0
timePollSent;12476770.0
timePollAckReceived;12491566.0
timePollAckReceived;12593570.0
timeRangeSent;12608377.0
timeINO;48941.0
timePollSent;12680775.0
timePollAckReceived;12695572.0
timePollAckReceived;12797571.0
timeRangeSent;12812379.0
timeINO;49145.0
timePollSent;12884779.0
timePollAckReceived;12899574.0
timePollAckReceived;13001572.0
timeRangeSent;13016377.0
timeINO;49349.0
timePollSent;13088781.0
timePollAckReceived;13103577.0
timePollAckReceived;13205581.0
timeRangeSent;13220389.0
timeINO;49553.0
timePollSent;13292785.0
timePollAckReceived;13307580.0
timePollAckReceived;13409582.0
timeRangeSent;13424388.0
timeINO;49757.0
timePollSent;13496793.0
timePollAckReceived;13511586.0
timePollAckReceived;13613587.0
timeRangeSent;13628394.0
timeINO;49961.0
timePollSent;13700796.0
timePollAckReceived;13715594.0
timePollAckReceived;13817594.0
timeRangeSent;13832402.0
timeINO;50165.0
timePollSent;13904801.0
timePollAckReceived;13919596.0
