Time name; timer [s/ps]
timeINO;47105.0
timePollSent;10844748.0
timePollAckReceived;10859545.0
timePollAckReceived;10961545.0
timeRangeSent;10976351.0
timeINO;47309.0
timePollSent;11048751.0
timePollAckReceived;11063549.0
timePollAckReceived;11165549.0
timeRangeSent;11180358.0
timeINO;47513.0
timePollSent;11252758.0
timePollAckReceived;11267551.0
timePollAckReceived;11369553.0
timeRangeSent;11384361.0
timeINO;47717.0
timePollSent;11456761.0
timePollAckReceived;11471557.0
timePollAckReceived;11573559.0
timeRangeSent;11588368.0
timeINO;47921.0
timePollSent;11660765.0
timePollAckReceived;11675563.0
timePollAckReceived;11777564.0
timeRangeSent;11792372.0
timeINO;48125.0
timePollSent;11864770.0
timePollAckReceived;11879568.0
timePollAckReceived;12083575.0
timeRangeSent;12098384.0
timeINO;48431.0
timePollSent;12170777.0
timePollAckReceived;12185574.0
timePollAckReceived;12389578.0
timeRangeSent;12404386.0
timeINO;48737.0
timePollSent;12476783.0
timePollAckReceived;12491578.0
timePollAckReceived;12593583.0
timeRangeSent;12608391.0
timeINO;48941.0
timePollSent;12680788.0
timePollAckReceived;12695585.0
timePollAckReceived;12797586.0
timeRangeSent;12812395.0
timeINO;49145.0
timePollSent;12884793.0
timePollAckReceived;12899588.0
timePollAckReceived;13001594.0
timeRangeSent;13016399.0
timeINO;49349.0
timePollSent;13088798.0
timePollAckReceived;13103595.0
timePollAckReceived;13205594.0
timeRangeSent;13220400.0
timeINO;49553.0
timePollSent;13292801.0
timePollAckReceived;13307597.0
timePollAckReceived;13409600.0
timeRangeSent;13424408.0
timeINO;49757.0
timePollSent;13496806.0
timePollAckReceived;13511606.0
timePollAckReceived;13613604.0
timeRangeSent;13628412.0
timeINO;49961.0
timePollSent;13700811.0
timePollAckReceived;13715607.0
timePollAckReceived;13817609.0
timeRangeSent;13832415.0
timeINO;50165.0
timePollSent;13904815.0
timePollAckReceived;13919611.0
timePollAckReceived;14021614.0
timeRangeSent;14036424.0
timeINO;50369.0
